length,mfe,loops,loop_length,gc,loop_gc,stem_length,longest_stem,bulges,longest_bulge,bulges_symmetric,bulges_asymmetric,stem_mismatches,A(((,A((.,A(..,A(.(,A.((,A.(.,A..(,A...,G(((,G((.,G(..,G(.(,G.((,G.(.,G..(,G...,T(((,T((.,T(..,T(.(,T.((,T.(.,T..(,T...,C(((,C((.,C(..,C(.(,C.((,C.(.,C..(,C...
94,-50.900001525878906,1,3,54.25531914893617,33.33333333333333,38,13,6,1,3,3,29,0,0,0,2,1,0,0,2,6,0,0,0,2,0,0,0,8,0,0,1,1,0,0,0,5,1,0,1,0,0,1,0
87,-44.29999923706055,1,4,44.827586206896555,50.0,33,11,5,3,4,1,30,3,1,0,2,1,0,1,0,4,0,0,0,1,2,1,0,4,1,0,0,1,0,0,0,3,1,0,2,0,0,0,1
98,-29.299999237060547,1,7,34.69387755102041,42.857142857142854,35,7,7,3,5,2,35,2,0,0,0,3,0,1,1,4,2,1,0,1,0,0,0,4,3,0,1,1,0,0,1,3,0,0,1,2,0,0,1
89,-35.29999923706055,1,7,43.82022471910113,28.57142857142857,31,11,4,4,1,3,28,4,0,1,0,1,0,0,1,4,1,0,0,2,0,0,1,4,0,0,0,3,0,0,3,3,0,0,0,1,0,0,0
81,-47.900001525878906,1,8,61.72839506172839,75.0,30,6,6,1,5,1,21,2,0,0,2,0,0,0,0,2,2,1,1,2,0,0,2,3,0,0,0,0,0,0,0,4,2,0,1,3,0,0,0
69,-30.899999618530273,1,3,50.72463768115942,66.66666666666666,27,11,4,3,1,3,22,2,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,4,0,1,0,2,0,1,0,3,2,1,0,0,0,1,0
79,-32.099998474121094,1,8,39.24050632911392,37.5,29,9,5,3,3,2,28,1,2,0,0,0,0,0,1,2,2,0,0,2,0,1,1,4,0,0,1,1,0,0,1,5,2,0,0,0,0,0,0
62,-24.0,1,12,46.774193548387096,41.66666666666667,19,9,2,2,2,0,14,2,0,0,0,0,0,1,2,1,1,2,0,1,0,0,1,3,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0
92,-53.400001525878906,1,3,52.17391304347826,33.33333333333333,36,12,4,5,1,3,32,2,0,1,0,0,0,0,1,6,0,1,0,1,0,1,0,4,1,0,0,0,0,3,0,7,1,0,1,0,0,0,0
91,-50.400001525878906,1,8,57.14285714285714,62.5,33,13,4,1,4,0,28,3,0,1,1,0,0,0,1,4,0,1,1,2,1,0,1,8,1,0,0,0,0,0,1,2,0,0,0,1,0,0,1
69,-27.899999618530273,1,12,37.68115942028986,25.0,25,16,2,2,2,0,19,3,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,5,1,0,0,1,0,0,2,1,0,1,1,1,0,0,1
61,-23.799999237060547,1,9,44.26229508196721,33.33333333333333,21,7,3,3,1,2,17,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,1,0,1,2,2,2,0,0,2,0,0,1
80,-30.200000762939453,1,9,42.5,11.11111111111111,29,6,6,3,3,3,24,1,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,4,0,1,0,2,0,1,2,3,1,1,2,2,0,0,0
106,-31.399999618530273,1,13,43.39622641509434,30.76923076923077,34,12,7,4,3,4,27,4,0,3,1,1,0,0,1,0,1,0,0,1,0,2,1,7,0,0,2,0,0,0,1,3,0,0,2,1,1,1,2
68,-24.5,1,3,45.588235294117645,0.0,23,5,5,2,3,2,15,2,0,0,0,1,0,0,1,2,0,0,1,3,0,0,0,1,3,0,0,1,0,2,1,3,0,0,1,0,0,0,0
119,-52.0,1,11,43.69747899159664,36.36363636363637,43,17,5,3,2,3,33,3,1,1,0,1,0,0,1,6,0,0,0,3,0,1,1,8,1,0,0,2,0,1,3,4,1,1,0,0,0,0,0
87,-43.900001525878906,1,5,49.42528735632184,40.0,35,14,4,1,2,2,31,3,0,1,1,0,0,1,2,5,1,0,0,0,0,0,0,3,2,0,1,1,0,0,0,7,0,0,1,0,0,0,0
85,-35.29999923706055,1,13,50.588235294117645,30.76923076923077,28,8,4,2,4,0,20,1,0,1,1,2,0,1,1,3,1,0,0,1,0,0,0,4,0,1,0,0,0,0,2,4,2,0,0,1,0,1,1
101,-48.400001525878906,1,3,66.33663366336634,33.33333333333333,36,10,7,4,5,2,25,1,0,0,1,1,0,1,2,8,0,0,0,3,0,0,0,4,2,1,0,0,0,0,0,2,1,1,2,1,0,1,1
83,-34.599998474121094,1,6,56.62650602409639,66.66666666666666,29,13,6,3,2,4,24,1,2,2,0,1,0,1,0,2,0,0,1,0,0,0,1,4,1,0,2,0,0,0,1,4,2,0,0,1,0,1,0
90,-30.399999618530273,1,13,42.22222222222222,53.84615384615385,31,18,4,2,3,1,25,5,0,0,0,1,0,0,1,3,1,0,0,2,0,0,1,5,3,1,0,0,0,1,2,1,1,0,0,1,0,0,1
84,-33.79999923706055,1,7,42.857142857142854,28.57142857142857,31,8,6,3,3,3,25,6,3,0,0,0,0,1,1,3,3,1,0,0,0,1,0,5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
97,-45.29999923706055,1,11,58.76288659793815,72.72727272727273,32,8,5,3,1,4,26,4,0,0,1,0,0,2,2,4,1,1,0,2,0,0,2,5,0,0,0,1,0,0,2,3,0,1,0,1,0,0,0
86,-42.0,1,14,33.72093023255814,14.285714285714285,33,17,3,1,1,2,30,7,0,0,0,1,0,0,1,1,1,0,0,2,0,0,1,7,0,1,0,0,0,0,2,3,0,0,0,1,0,0,0
91,-47.70000076293945,1,7,58.24175824175825,57.14285714285714,34,10,6,2,4,2,31,3,0,1,0,0,0,0,0,3,1,1,0,1,0,0,1,5,1,0,1,0,0,0,1,5,1,0,3,1,0,0,1
106,-39.0,1,16,54.71698113207547,56.25,32,9,7,1,4,3,28,4,1,1,1,1,0,0,1,5,2,0,1,0,0,0,4,2,1,0,0,0,1,0,1,3,0,0,1,1,0,2,2
100,-36.599998474121094,1,10,52.0,50.0,33,7,6,1,4,2,23,1,0,0,0,0,0,1,0,4,3,1,0,1,0,0,1,5,1,1,3,0,0,0,1,4,0,0,0,2,0,1,3
86,-40.5,1,3,53.48837209302325,66.66666666666666,35,13,6,4,3,3,27,2,2,0,2,0,0,0,0,5,1,0,0,0,0,0,0,5,1,0,0,2,0,0,1,4,0,0,2,0,0,0,1
65,-28.600000381469727,1,7,53.84615384615385,71.42857142857143,24,8,4,1,2,2,20,2,1,0,1,1,0,0,0,3,1,1,0,0,0,0,2,3,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0
98,-44.79999923706055,1,3,71.42857142857143,66.66666666666666,33,6,8,2,5,3,26,2,1,0,1,0,0,0,0,3,3,1,0,1,0,0,1,2,0,0,1,1,0,1,0,5,1,2,0,3,0,2,1
