length,mfe,loops,loop_length,gc,loop_gc,stem_length,longest_stem,bulges,longest_bulge,bulges_symmetric,bulges_asymmetric,stem_mismatches,A(((,A((.,A(..,A(.(,A.((,A.(.,A..(,A...,G(((,G((.,G(..,G(.(,G.((,G.(.,G..(,G...,T(((,T((.,T(..,T(.(,T.((,T.(.,T..(,T...,C(((,C((.,C(..,C(.(,C.((,C.(.,C..(,C...
62,-17.399999618530273,1,3,53.2258064516129,66.66666666666666,19,8,3,8,1,2,17,3,0,0,0,0,0,1,1,2,2,0,0,2,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2
62,-8.699999809265137,1,6,48.38709677419355,16.666666666666664,11,4,3,8,1,2,10,1,0,2,0,0,0,1,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,1,1,1,0,0,0,1,2
58,-9.100000381469727,1,9,41.37931034482759,44.44444444444444,14,4,3,5,1,2,12,1,0,2,0,1,0,2,2,0,2,0,0,0,0,0,0,0,1,0,0,2,0,1,1,2,1,0,0,0,0,0,1
58,-14.399999618530273,1,7,55.172413793103445,28.57142857142857,14,5,4,1,1,3,10,1,0,0,1,0,0,1,3,2,0,0,1,0,0,0,0,1,1,0,1,0,0,1,2,1,0,1,1,0,0,0,1
67,-13.600000381469727,1,4,53.73134328358209,25.0,18,6,4,4,0,4,15,2,1,0,0,0,0,2,0,1,4,0,0,1,0,1,2,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,2
67,-15.699999809265137,1,5,44.776119402985074,40.0,17,7,4,2,2,2,14,2,1,0,1,0,0,0,3,2,0,0,0,1,0,0,0,1,1,1,0,1,0,0,2,0,2,1,0,1,0,1,1
67,-11.100000381469727,1,8,46.26865671641791,50.0,13,4,4,2,2,2,11,0,0,3,1,0,0,0,4,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,1,0,0,1,0,2,1
77,-17.700000762939453,1,7,54.54545454545454,71.42857142857143,20,5,6,5,3,3,16,1,1,2,1,0,0,0,3,1,2,0,1,4,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2,1
58,-9.300000190734863,1,8,43.103448275862064,50.0,14,6,3,1,3,0,12,2,1,0,0,1,1,0,3,1,0,0,0,0,0,0,3,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
53,-12.300000190734863,1,4,62.264150943396224,100.0,14,4,4,2,1,3,12,0,2,0,1,0,0,1,2,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2
55,-7.900000095367432,1,20,40.0,20.0,10,6,1,2,0,1,8,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,7,2,0,0,0,0,0,0,1
55,-11.600000381469727,1,9,54.54545454545454,33.33333333333333,13,6,4,3,1,3,12,1,0,2,0,0,0,0,2,2,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1
55,-16.399999618530273,1,3,47.27272727272727,100.0,16,7,3,5,1,2,12,2,0,0,1,0,0,0,3,2,0,0,1,0,0,0,0,3,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1
55,-7.699999809265137,1,3,45.45454545454545,33.33333333333333,11,5,3,6,1,2,8,1,0,2,0,1,0,0,4,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1
42,-7.699999809265137,1,8,52.38095238095239,62.5,10,5,2,4,1,1,10,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,1,1,1,0,0,0,1,1,2,0,0,0,0,0,0,1
52,-12.5,1,6,61.53846153846154,83.33333333333334,16,5,5,3,2,3,14,1,0,0,0,0,0,0,1,2,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,2,3,0,0,0,0,1,1
68,-26.200000762939453,1,4,58.82352941176471,50.0,23,8,5,6,4,1,19,0,1,0,0,0,0,0,0,3,1,0,2,1,0,0,1,1,0,1,3,1,0,2,1,3,0,0,1,0,0,0,0
68,-14.199999809265137,1,5,55.88235294117647,40.0,16,5,3,5,1,2,13,2,0,1,1,0,0,1,4,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,1,0,1,3
68,-19.200000762939453,1,8,54.41176470588235,62.5,16,6,3,10,1,2,13,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,3,1,0,0,0,0,0,0,2,2,0,0,1,3,0,0,4
68,-19.0,1,7,54.41176470588235,57.14285714285714,21,5,4,3,1,3,17,2,0,0,0,0,0,0,2,2,2,0,0,1,0,0,1,3,0,2,1,1,0,0,0,1,1,0,1,1,0,0,1
51,-8.199999809265137,1,4,29.411764705882355,0.0,16,6,3,4,0,3,14,1,2,1,1,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
51,-6.800000190734863,1,3,33.33333333333333,0.0,10,5,1,4,0,1,8,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3
68,-11.600000381469727,1,4,54.41176470588235,100.0,14,4,4,2,1,3,13,0,2,0,1,0,0,1,3,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,4,1,1,0,0,1,0,0,2
50,-11.600000381469727,1,4,62.0,100.0,14,4,4,2,1,3,12,0,2,0,1,0,0,1,1,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2
98,-25.0,1,10,50.0,40.0,24,6,5,8,3,2,22,0,0,2,1,1,0,0,3,4,1,0,0,1,0,0,0,1,2,1,0,2,0,0,4,3,0,3,0,1,0,0,2
98,-14.899999618530273,1,9,32.6530612244898,44.44444444444444,24,6,4,6,0,4,21,4,1,1,0,0,0,1,2,1,2,0,0,0,0,0,2,4,0,1,0,2,0,0,6,2,0,0,0,0,0,1,2
113,-37.099998474121094,1,6,50.442477876106196,50.0,35,11,7,4,1,6,27,3,1,2,0,2,0,1,3,3,1,0,0,1,1,0,1,5,1,0,1,2,0,1,3,4,1,0,0,0,0,0,0
131,-36.79999923706055,1,7,58.01526717557252,28.57142857142857,33,6,9,7,4,5,27,0,1,1,1,1,0,0,5,5,4,0,0,0,0,0,1,2,2,1,1,0,0,2,2,4,1,1,0,1,0,3,4
73,-16.899999618530273,1,3,50.68493150684932,66.66666666666666,20,5,5,12,2,3,17,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,2,1,0,2,1,0,0,2,1,1,1,1,2,0,1,3
